case_id,codebook,K,M,c,k_norm,theta0_mean,P_mean,b_mean,proc_time_s
1,gauss64,64,10,0.6,0.493677510999303,-0.00237273279013742,85.5239049674725,0.828406979978665,0.6387982
2,gauss64,64,10,0.75,0.480935040389395,0.000137277500265,85.8344640547101,0.828727464822789,0.5466114
3,gauss64,64,10,0.9,0.489832444096986,0.000780622393542342,85.0419491406644,0.826843760243153,0.5745239
4,gauss64,64,12,0.6,0.490847474553202,-0.00200881713106876,85.4207267962782,0.824130090058507,0.5649162
5,gauss64,64,12,0.75,0.4992020731685,-0.000563492015008474,85.7222218709574,0.827597540206493,0.6003698
6,gauss64,64,12,0.9,0.488642173766282,-0.001900308047623,86.1948165567191,0.827757638051626,0.5160971
7,gauss64,64,16,0.6,0.485358641869924,-0.000287662149677713,85.1819137996192,0.825880102866901,0.5438963
8,gauss64,64,16,0.75,0.488088974539964,-0.00168738749087041,84.7772425627034,0.83131949413984,0.5493509
9,gauss64,64,16,0.9,0.502198400429019,-0.000985422469431876,86.1660763912681,0.823214458168363,0.561992
10,gauss256,256,10,0.6,0.493543482032708,0.000216186401238212,85.7205834335217,0.79323761637906,0.6197189
11,gauss256,256,10,0.75,0.480092009320987,-0.000777128829887752,85.2402435458987,0.811842272581488,0.6001392
12,gauss256,256,10,0.9,0.502969683547298,0.00125723750388004,85.111835740968,0.823768743184992,0.5916492
13,gauss256,256,12,0.6,0.50421257647796,-0.00205911269413338,84.9260408841075,0.803983418908164,0.5845482
14,gauss256,256,12,0.75,0.486514348381472,0.00179479009930961,84.7968216938369,0.807024108157277,0.5575841
15,gauss256,256,12,0.9,0.494442197135178,0.00139009525995808,86.3308205891697,0.822309642734133,0.5719033
16,gauss256,256,16,0.6,0.499430188242944,-0.000122014649281029,86.1356595247439,0.799772968422725,0.5712543
17,gauss256,256,16,0.75,0.499617036098168,4.08472875282564e-05,85.5559842958681,0.812153657751481,0.5814851
18,gauss256,256,16,0.9,0.48780808756045,-0.000395907678323938,86.2711907513191,0.827181176884755,0.5870808
19,gauss1024,1024,10,0.6,0.504480522178844,0.00368892851340527,85.8927776877986,0.789372834684081,0.8652233
20,gauss1024,1024,10,0.75,0.498282224797321,0.000395245877440856,84.9475648161414,0.791276128657828,0.8535252
21,gauss1024,1024,10,0.9,0.511939408609244,-0.00207920723970558,86.2236482102107,0.821778554727475,0.9317409
22,gauss1024,1024,12,0.6,0.49186655472048,0.000282686985296712,86.0196886011632,0.781834532776027,0.849881
23,gauss1024,1024,12,0.75,0.494718636538862,-0.000742006176564978,85.8667996679769,0.796226619168106,0.8954539
24,gauss1024,1024,12,0.9,0.513768661907145,0.00203771981002032,85.7150226384104,0.813412291689431,0.8274302
25,gauss1024,1024,16,0.6,0.489157117704412,0.000780248421088998,84.7679156777611,0.782806411426766,0.8569794
26,gauss1024,1024,16,0.75,0.514987832865234,0.00189588642910579,85.505002268513,0.798049011246617,0.8209809
27,gauss1024,1024,16,0.9,0.491478022227672,-0.00128430021500095,87.027060183599,0.812566319956437,0.8199419
