wav,vocoder,MSE,SNR_dB,SegSNR_dB,LSD_dB,PESQ,STOI
we were away a year ago_lrr.wav,CELP,0.00231841390569909,10.8713200794892,10.8925753723202,43.8369900736976,NaN,0.910121538326406
we were away a year ago_lrr.wav,LP,0.0411117430630064,-1.61642909511007,-1.4541565952988,43.8369900736976,NaN,0.519882783568413
frase.wav,CELP,0.00138132957959586,12.0075972404944,9.40488711819638,53.0874483656469,NaN,0.833122390884436
frase.wav,LP,0.0226258851066348,-0.135485415829779,-1.22990598590216,53.0874483656469,NaN,0.52959818482678
e.wav,CELP,0.000380984195986922,14.84223821142,6.08480913697292,74.4331711672142,NaN,NaN
e.wav,LP,0.0134215375199354,-0.626714880381056,-2.41222138521298,74.4331711672142,NaN,0.808837288763056
r.wav,CELP,0.000472766855262938,10.7943258002118,4.31595358960764,71.5897144466919,NaN,0.943168058541153
r.wav,LP,0.00620901246010858,-0.389429299337675,-2.57182960008429,71.5897144466919,NaN,0.459121608995331
z.wav,CELP,0.000414171940586729,11.3239871169072,5.85935526784422,73.7773354499405,NaN,0.919843937079922
z.wav,LP,0.00534096465507338,0.219596806190936,-2.24006955804451,73.7773354499405,NaN,0.589082998302015
